chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,50000,50000,332.5,0.00278,0.99722,69.55661126079286,7.10950171079415,38.333056485793506,0.0,0.0,,,,
1,50000,100000,50000,286.5,0.00278,0.99722,82.85948203199733,10.30322601713334,46.581354024565336,0.0,0.0,,,,
2,100000,150000,50000,286.5,0.00276,0.99724,82.85948203199733,10.30322601713334,46.581354024565336,0.0,0.0,,,,
3,150000,200000,50000,272.5,0.0028,0.9972,86.25939402837692,11.604554377129421,48.93197420275317,0.0,0.0,,,,
4,200000,250000,50000,268.0,0.00278,0.99722,87.27694148475447,12.057833187592298,49.667387336173384,0.0,0.0,,,,
5,250000,300000,50000,255.0,0.0028,0.9972,89.93643237978172,13.497676004978175,51.71705419237995,0.0,0.0,,,,
6,300000,350000,50000,260.5,0.00278,0.99722,88.86078283830923,12.863883919986357,50.8623333791478,0.0,0.0,,,,
7,350000,400000,50000,252.5,0.00278,0.99722,90.40375577607689,13.805637093935843,52.10469643500637,0.0,0.0,,,,
8,400000,450000,50000,246.5,0.00276,0.99724,91.46776699541942,14.561252961687645,53.014509978553534,0.0,0.0,,,,
9,450000,500000,50000,257.0,0.00276,0.99724,89.54583238398943,13.260831703573619,51.403332043781525,0.0,0.0,,,,
10,500000,550000,50000,245.0,0.00276,0.99724,91.72586917003991,14.755917025576645,53.24089309780828,0.0,0.0,,,,
11,550000,600000,50000,242.0,0.00276,0.99724,92.22457127330854,15.156946767633153,53.69075902047085,0.0,0.0,,,,
12,600000,650000,50000,246.0,0.0028,0.9972,91.55295056085522,14.62520364437252,53.08907710261387,0.0,0.0,,,,
13,650000,700000,50000,232.0,0.00278,0.99722,93.72112521088863,16.591709814479522,55.15641751268407,0.0,0.0,,,,
14,700000,750000,50000,234.5,0.0028,0.9972,93.3675887948025,16.214446141732854,54.791017468267675,0.0,0.0,,,,
15,750000,800000,50000,238.5,0.00284,0.99716,92.77846588113961,15.639887809639227,54.20917684538942,0.0,0.0,,,,
16,800000,850000,50000,237.0,0.00276,0.99724,93.0027721588058,15.851514678722655,54.427143418764224,0.0,0.0,,,,
17,850000,900000,50000,225.5,0.0028,0.9972,94.57972004463744,17.589612594928212,56.084666319782826,0.0,0.0,,,,
18,900000,950000,50000,225.5,0.00276,0.99724,94.57972004463744,17.589612594928212,56.084666319782826,0.0,0.0,,,,
19,950000,1000000,50000,231.5,0.0028,0.9972,93.79270089198786,16.664640805796743,55.22867084889231,0.0,0.0,,,,
20,1000000,1050000,50000,233.0,0.00276,0.99724,93.58128629421947,16.440133089988134,55.0107096921038,0.0,0.0,,,,
21,1050000,1100000,50000,230.0,0.0028,0.9972,93.9940438648361,16.887697158594065,55.44087051171508,0.0,0.0,,,,
22,1100000,1150000,50000,228.5,0.00276,0.99724,94.19073150883237,17.120640921905785,55.65568621536908,0.0,0.0,,,,
23,1150000,1200000,50000,224.0,0.00276,0.99724,94.76329219484879,17.831355246495864,56.297323720672324,0.0,0.0,,,,
24,1200000,1250000,50000,223.5,0.00278,0.99722,94.8213495171663,17.91426435851569,56.367806937840996,0.0,0.0,,,,
25,1250000,1300000,50000,228.5,0.00276,0.99724,94.19073150883237,17.120640921905785,55.65568621536908,0.0,0.0,,,,
