chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,20000,20000,296.7425537109375,0.0025,0.9975,60.715,10.61,35.6625,66.66136932373047,9.055190086364746,,,,
1,20000,40000,20000,300.7123107910156,0.0025,0.9975,66.065,11.745,38.905,66.66136932373047,17.716712951660156,,,,
2,40000,60000,20000,282.7865905761719,0.0025,0.9975,71.115,11.97,41.5425,66.66136932373047,17.716712951660156,,,,
3,60000,80000,20000,267.1493225097656,0.0025,0.9975,70.575,11.84,41.2075,66.66136932373047,17.716712951660156,,,,
4,80000,100000,20000,266.2226867675781,0.0025,0.9975,69.99,11.33,40.66,66.66136932373047,9.055190086364746,,,,
5,100000,120000,20000,254.15402221679688,0.0025,0.9975,71.29,11.47,41.38,66.66136932373047,17.716712951660156,,,,
6,120000,140000,20000,253.0189971923828,0.0025,0.9975,70.33,11.58,40.955,66.66136932373047,17.716712951660156,,,,
7,140000,160000,20000,249.62606811523438,0.0025,0.9975,69.285,11.445,40.364999999999995,66.66136932373047,17.716712951660156,,,,
8,160000,180000,20000,240.9103546142578,0.0025,0.9975,68.635,12.065,40.35,66.66136932373047,9.055190086364746,,,,
9,180000,200000,20000,248.06707763671875,0.0025,0.9975,69.175,11.04,40.1075,66.66136932373047,9.055190086364746,,,,
10,200000,220000,20000,254.8003387451172,0.0025,0.9975,68.75,11.335,40.042500000000004,66.66136932373047,9.055190086364746,,,,
11,220000,240000,20000,234.2220458984375,0.0025,0.9975,68.195,12.425,40.309999999999995,66.66136932373047,9.055190086364746,,,,
12,240000,260000,20000,227.58863830566406,0.0025,0.9975,68.385,12.62,40.502500000000005,66.66136932373047,9.055190086364746,,,,
13,260000,280000,20000,220.07052612304688,0.0025,0.9975,74.92,13.33,44.125,66.66136932373047,9.055190086364746,,,,
14,280000,300000,20000,222.91314697265625,0.0025,0.9975,67.17,13.595,40.3825,66.66136932373047,9.055190086364746,,,,
15,300000,320000,20000,235.9883270263672,0.0025,0.9975,66.045,13.31,39.6775,66.66136932373047,17.716712951660156,,,,
16,320000,340000,20000,204.33126831054688,0.0025,0.9975,74.93,13.835,44.38250000000001,66.66136932373047,9.055190086364746,,,,
17,340000,360000,20000,217.58128356933594,0.0025,0.9975,72.36,14.12,43.24,66.66136932373047,9.055190086364746,,,,
18,360000,380000,20000,209.38011169433594,0.0025,0.9975,72.01,14.495,43.252500000000005,66.66136932373047,9.055190086364746,,,,
19,380000,400000,20000,206.70579528808594,0.0025,0.9975,72.09,14.53,43.31,66.66136932373047,9.055190086364746,,,,
20,400000,420000,20000,199.0948028564453,0.0025,0.9975,72.84,15.0,43.92,66.66136932373047,9.055190086364746,,,,
21,420000,440000,20000,201.60812377929688,0.0025,0.9975,71.985,15.375,43.68,66.66136932373047,9.055190086364746,,,,
22,440000,460000,20000,213.63572692871094,0.0025,0.9975,69.775,16.005,42.89,66.66136932373047,9.055190086364746,,,,
23,460000,480000,20000,200.1927947998047,0.0025,0.9975,70.905,16.555,43.730000000000004,66.66136932373047,9.055190086364746,,,,
24,480000,500000,20000,195.6850128173828,0.0025,0.9975,71.7,16.965,44.3325,66.66136932373047,9.055190086364746,,,,
25,500000,520000,20000,186.76785278320312,0.0025,0.9975,71.42,26.4,48.91,66.66136932373047,9.055190086364746,,,,
26,520000,540000,20000,200.9693603515625,0.0025,0.9975,69.38,17.88,43.629999999999995,66.66136932373047,9.055190086364746,,,,
27,540000,560000,20000,182.4105987548828,0.0025,0.9975,70.855,28.7,49.7775,66.66136932373047,9.055190086364746,,,,
28,560000,580000,20000,200.40682983398438,0.0025,0.9975,68.615,18.92,43.7675,66.66136932373047,9.055190086364746,,,,
29,580000,600000,20000,193.4560546875,0.0025,0.9975,69.97,19.135,44.5525,66.66136932373047,9.055190086364746,,,,
30,600000,620000,20000,182.82098388671875,0.0025,0.9975,70.785,31.28,51.0325,66.66136932373047,9.055190086364746,,,,
31,620000,640000,20000,186.62721252441406,0.0025,0.9975,70.46,32.6,51.53,66.66136932373047,9.055190086364746,,,,
32,640000,660000,20000,196.44972229003906,0.0025,0.9975,69.445,20.725,45.084999999999994,66.66136932373047,9.055190086364746,,,,
33,660000,680000,20000,189.38523864746094,0.0025,0.9975,68.865,30.59,49.7275,66.66136932373047,9.055190086364746,,,,
34,680000,700000,20000,173.21702575683594,0.0025,0.9975,74.355,37.02,55.6875,66.66136932373047,9.055190086364746,,,,
35,700000,720000,20000,181.37310791015625,0.0025,0.9975,72.24,37.115,54.677499999999995,66.66136932373047,9.055190086364746,,,,
36,720000,740000,20000,173.47671508789062,0.0025,0.9975,74.07,37.33,55.699999999999996,66.66136932373047,9.055190086364746,,,,
37,740000,760000,20000,179.67506408691406,0.0025,0.9975,72.195,38.285,55.239999999999995,66.66136932373047,9.055190086364746,,,,
38,760000,780000,20000,179.36228942871094,0.0025,0.9975,71.875,38.41,55.1425,66.66136932373047,9.055190086364746,,,,
39,780000,800000,20000,179.24868774414062,0.0025,0.9975,72.12,39.54,55.83,66.66136932373047,9.055190086364746,,,,
40,800000,820000,20000,187.21067810058594,0.0025,0.9975,69.68,39.32,54.5,66.66136932373047,9.055190086364746,,,,
41,820000,840000,20000,169.65878295898438,0.0025,0.9975,74.59,43.64,59.115,66.66136932373047,9.055190086364746,,,,
42,840000,860000,20000,178.13861083984375,0.0025,0.9975,75.075,41.05,58.0625,66.66136932373047,9.055190086364746,,,,
43,860000,880000,20000,172.1524200439453,0.0025,0.9975,75.315,41.81,58.5625,66.66136932373047,9.055190086364746,,,,
44,880000,900000,20000,183.74217224121094,0.0025,0.9975,70.565,42.04,56.302499999999995,66.66136932373047,9.055190086364746,,,,
45,900000,920000,20000,178.86489868164062,0.0025,0.9975,75.72,42.485,59.1025,66.66136932373047,9.055190086364746,,,,
46,920000,940000,20000,186.3544464111328,0.0025,0.9975,70.39,43.66,57.025,66.66136932373047,9.055190086364746,,,,
47,940000,960000,20000,169.6220245361328,0.0025,0.9975,75.65,48.845,62.2475,66.66136932373047,9.055190086364746,,,,
48,960000,980000,20000,171.16065979003906,0.0025,0.9975,75.83,44.355,60.0925,66.66136932373047,9.055190086364746,,,,
49,980000,1000000,20000,163.4351043701172,0.0025,0.9975,77.84,50.175,64.0075,66.66136932373047,9.055190086364746,,,,
50,1000000,1020000,20000,164.9656982421875,0.0025,0.9975,77.27,51.005,64.1375,66.66136932373047,9.055190086364746,,,,
51,1020000,1040000,20000,163.9595184326172,0.0025,0.9975,77.375,50.855,64.115,66.66136932373047,9.055190086364746,,,,
52,1040000,1060000,20000,161.48526000976562,0.0025,0.9975,78.645,51.87,65.2575,66.66136932373047,9.055190086364746,,,,
53,1060000,1080000,20000,169.9824981689453,0.0025,0.9975,76.29,52.285,64.2875,66.66136932373047,9.055190086364746,,,,
