chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
28,560000,580000,20000,197.8454132080078,0.00275,0.99725,69.68,18.92,44.300000000000004,66.66136932373047,9.055190086364746,,,,
29,580000,600000,20000,186.03147888183594,0.00275,0.99725,70.985,30.615,50.8,66.66136932373047,9.055190086364746,,,,
30,600000,620000,20000,178.12513732910156,0.00275,0.99725,74.79,31.28,53.035000000000004,66.66136932373047,9.055190086364746,,,,
31,620000,640000,20000,183.03611755371094,0.00275,0.99725,70.46,32.6,51.53,66.66136932373047,9.055190086364746,,,,
32,640000,660000,20000,190.14535522460938,0.00275,0.99725,69.445,29.31,49.3775,66.66136932373047,9.055190086364746,,,,
33,660000,680000,20000,182.42250061035156,0.00275,0.99725,70.18,35.705,52.9425,66.66136932373047,9.055190086364746,,,,
34,680000,700000,20000,167.6781463623047,0.00275,0.99725,75.435,39.495,57.465,66.66136932373047,9.055190086364746,,,,
35,700000,720000,20000,178.6491241455078,0.00275,0.99725,74.475,37.115,55.795,66.66136932373047,9.055190086364746,,,,
36,720000,740000,20000,169.1290283203125,0.00275,0.99725,74.07,40.355,57.21249999999999,66.66136932373047,9.055190086364746,,,,
37,740000,760000,20000,175.31752014160156,0.00275,0.99725,74.375,38.285,56.33,66.66136932373047,9.055190086364746,,,,
38,760000,780000,20000,176.1894989013672,0.00275,0.99725,74.165,38.41,56.2875,66.66136932373047,9.055190086364746,,,,
39,780000,800000,20000,171.4159393310547,0.00275,0.99725,74.48,39.54,57.010000000000005,66.66136932373047,9.055190086364746,,,,
40,800000,820000,20000,182.41903686523438,0.00275,0.99725,69.68,39.32,54.5,66.66136932373047,9.055190086364746,,,,
41,820000,840000,20000,167.18148803710938,0.00275,0.99725,75.995,43.64,59.8175,66.66136932373047,9.055190086364746,,,,
42,840000,860000,20000,165.22918701171875,0.00275,0.99725,76.495,45.23,60.8625,66.66136932373047,9.055190086364746,,,,
43,860000,880000,20000,167.72125244140625,0.00275,0.99725,76.625,45.79,61.207499999999996,66.66136932373047,9.055190086364746,,,,
44,880000,900000,20000,176.65110778808594,0.00275,0.99725,75.015,42.04,58.5275,66.66136932373047,9.055190086364746,,,,
45,900000,920000,20000,170.07257080078125,0.00275,0.99725,75.72,46.915,61.317499999999995,66.66136932373047,9.055190086364746,,,,
46,920000,940000,20000,181.90567016601562,0.00275,0.99725,70.39,43.66,57.025,66.66136932373047,9.055190086364746,,,,
47,940000,960000,20000,166.14495849609375,0.00275,0.99725,77.23,48.845,63.0375,66.66136932373047,9.055190086364746,,,,
48,960000,980000,20000,168.0122833251953,0.00275,0.99725,77.655,49.29,63.4725,66.66136932373047,9.055190086364746,,,,
49,980000,1000000,20000,159.23291015625,0.00275,0.99725,77.84,50.175,64.0075,66.66136932373047,9.055190086364746,,,,
50,1000000,1020000,20000,160.65208435058594,0.00275,0.99725,77.27,51.005,64.1375,66.66136932373047,9.055190086364746,,,,
51,1020000,1040000,20000,158.99073791503906,0.00275,0.99725,77.375,50.855,64.115,66.66136932373047,9.055190086364746,,,,
52,1040000,1060000,20000,156.9402618408203,0.00275,0.99725,78.645,51.87,65.2575,66.66136932373047,9.055190086364746,,,,
53,1060000,1080000,20000,164.04379272460938,0.00275,0.99725,78.185,52.285,65.235,66.66136932373047,9.055190086364746,,,,
54,1080000,1100000,20000,146.57284545898438,0.00275,0.99725,83.415,52.575,67.995,66.66136932373047,9.055190086364746,,,,
55,1100000,1120000,20000,172.1819305419922,0.00275,0.99725,76.46,46.915,61.6875,66.66136932373047,9.055190086364746,,,,
56,1120000,1140000,20000,164.59352111816406,0.00275,0.99725,78.97,53.065,66.0175,66.66136932373047,9.055190086364746,,,,
57,1140000,1160000,20000,169.6318817138672,0.00275,0.99725,76.71,54.325,65.5175,66.66136932373047,9.055190086364746,,,,
58,1160000,1180000,20000,165.3646240234375,0.00275,0.99725,79.13,54.435,66.7825,66.66136932373047,9.055190086364746,,,,
59,1180000,1200000,20000,169.07550048828125,0.00275,0.99725,77.175,54.555,65.865,66.66136932373047,9.055190086364746,,,,
60,1200000,1220000,20000,166.1347198486328,0.00275,0.99725,79.245,55.31,67.2775,66.66136932373047,9.055190086364746,,,,
61,1220000,1240000,20000,186.3972625732422,0.00275,0.99725,73.835,48.16,60.997499999999995,66.66136932373047,9.055190086364746,,,,
62,1240000,1260000,20000,174.2259979248047,0.00275,0.99725,77.005,48.805,62.905,66.66136932373047,9.055190086364746,,,,
63,1260000,1280000,20000,172.2578887939453,0.00275,0.99725,78.195,48.81,63.5025,66.66136932373047,9.055190086364746,,,,
64,1280000,1300000,20000,164.17861938476562,0.00275,0.99725,80.595,57.105,68.85,66.66136932373047,9.055190086364746,,,,
65,1300000,1320000,20000,156.0889129638672,0.00275,0.99725,80.51,57.085,68.7975,66.66136932373047,9.055190086364746,,,,
66,1320000,1340000,20000,157.67538452148438,0.00275,0.99725,81.005,57.13,69.0675,66.66136932373047,9.055190086364746,,,,
67,1340000,1360000,20000,151.68841552734375,0.00275,0.99725,80.795,57.28,69.0375,66.66136932373047,9.055190086364746,,,,
68,1360000,1380000,20000,162.35861206054688,0.00275,0.99725,81.7,58.0,69.85,66.66136932373047,9.055190086364746,,,,
69,1380000,1400000,20000,175.88629150390625,0.00275,0.99725,79.155,49.42,64.2875,66.66136932373047,9.055190086364746,,,,
70,1400000,1420000,20000,147.03274536132812,0.00275,0.99725,86.905,58.51,72.7075,66.66136932373047,9.055190086364746,,,,
71,1420000,1440000,20000,164.7563018798828,0.00275,0.99725,81.845,58.51,70.1775,66.66136932373047,9.055190086364746,,,,
72,1440000,1460000,20000,158.3073272705078,0.00275,0.99725,82.045,58.55,70.2975,66.66136932373047,9.055190086364746,,,,
73,1460000,1480000,20000,156.7535858154297,0.00275,0.99725,82.385,58.59,70.48750000000001,66.66136932373047,9.055190086364746,,,,
74,1480000,1500000,20000,162.02308654785156,0.00275,0.99725,82.85,58.52,70.685,66.66136932373047,9.055190086364746,,,,
75,1500000,1520000,20000,166.74356079101562,0.00275,0.99725,83.295,59.395,71.345,66.66136932373047,9.055190086364746,,,,
76,1520000,1540000,20000,146.12704467773438,0.00275,0.99725,88.66,58.165,73.4125,66.66136932373047,9.055190086364746,,,,
77,1540000,1560000,20000,157.87387084960938,0.00275,0.99725,83.595,59.19,71.3925,66.66136932373047,9.055190086364746,,,,
78,1560000,1580000,20000,150.67335510253906,0.00275,0.99725,84.09,59.31,71.7,66.66136932373047,9.055190086364746,,,,
79,1580000,1600000,20000,159.74249267578125,0.00275,0.99725,83.785,59.01,71.3975,66.66136932373047,9.055190086364746,,,,
80,1600000,1620000,20000,153.1997528076172,0.00275,0.99725,84.77,59.13,71.95,66.66136932373047,9.055190086364746,,,,
81,1620000,1640000,20000,154.470458984375,0.00275,0.99725,84.09,58.87,71.48,66.66136932373047,9.055190086364746,,,,
82,1640000,1660000,20000,142.26866149902344,0.00275,0.99725,89.765,58.46,74.1125,66.66136932373047,9.055190086364746,,,,
83,1660000,1662241,2241,166.53976440429688,0.002677376171352075,0.9973226238286479,85.27443105756359,59.794734493529674,72.53458277554662,66.66136932373047,9.055190086364746,,,,
AVG_FINITE,,,,nan,nan,nan,nan,nan,nan,nan,nan,75.7310646554472,37.51386588682773,84,84
