chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,50000,50000,265.3863830566406,0.00276,0.99724,72.516,9.456,40.986000000000004,54.0234260559082,31.481037139892578,,,,
1,50000,100000,50000,198.60586547851562,0.00276,0.99724,82.796,11.808,47.30200000000001,39.33855438232422,26.243444442749023,,,,
2,100000,150000,50000,188.75064086914062,0.00276,0.99724,82.798,11.814,47.306,37.2214241027832,22.906587600708008,,,,
3,150000,200000,50000,182.05975341796875,0.00276,0.99724,82.556,12.036,47.296,32.782073974609375,20.644180297851562,,,,
4,200000,250000,50000,171.5223846435547,0.00276,0.99724,84.182,12.146,48.164,35.09199142456055,18.53081703186035,,,,
5,250000,300000,50000,159.64022827148438,0.00276,0.99724,85.942,12.902,49.422,27.676347732543945,17.540576934814453,,,,
6,300000,350000,50000,165.32217407226562,0.00276,0.99724,84.148,12.354,48.251,28.872621536254883,15.919713973999023,,,,
7,350000,400000,50000,152.22410583496094,0.00276,0.99724,86.548,13.366,49.957,29.704782485961914,14.229804992675781,,,,
8,400000,450000,50000,146.819091796875,0.00276,0.99724,86.976,13.712,50.344,25.890195846557617,13.876599311828613,,,,
9,450000,500000,50000,154.02398681640625,0.00276,0.99724,84.854,13.054,48.954,25.719158172607422,12.840367317199707,,,,
10,500000,550000,50000,147.45594787597656,0.00276,0.99724,85.882,12.822,49.352000000000004,27.773603439331055,11.780498504638672,,,,
11,550000,600000,50000,145.42758178710938,0.00276,0.99724,85.742,13.498,49.620000000000005,22.10930633544922,11.579633712768555,,,,
12,600000,650000,50000,144.90489196777344,0.00276,0.99724,85.544,13.624,49.583999999999996,25.512056350708008,10.342748641967773,,,,
13,650000,700000,50000,136.79307556152344,0.00276,0.99724,87.034,13.972,50.503,17.000057220458984,9.408507347106934,,,,
14,700000,750000,50000,136.29295349121094,0.00276,0.99724,87.428,13.972,50.699999999999996,20.244050979614258,8.888319969177246,,,,
15,750000,800000,50000,137.92608642578125,0.00276,0.99724,85.866,13.592,49.729,19.844799041748047,7.911766529083252,,,,
16,800000,850000,50000,138.22007751464844,0.00276,0.99724,85.34,13.296,49.318,20.52029800415039,7.297778129577637,,,,
17,850000,900000,50000,130.669189453125,0.00276,0.99724,87.452,14.244,50.848,18.333555221557617,5.958151817321777,,,,
18,900000,950000,50000,131.99652099609375,0.00276,0.99724,86.474,14.342,50.408,17.238388061523438,6.638497829437256,,,,
19,950000,1000000,50000,133.51617431640625,0.00276,0.99724,86.104,13.808,49.956,15.120038032531738,5.447603702545166,,,,
20,1000000,1050000,50000,133.9425048828125,0.00276,0.99724,85.658,13.882,49.77,15.751520156860352,4.407078742980957,,,,
21,1050000,1100000,50000,131.48529052734375,0.00276,0.99724,85.308,14.13,49.719,15.528059959411621,2.383497714996338,,,,
22,1100000,1150000,50000,125.059326171875,0.00276,0.99724,87.192,15.049751243781095,51.12087562189055,18.211143493652344,1.6364086866378784,,,,
23,1150000,1200000,50000,128.95162963867188,0.00276,0.99724,86.2,0.0,43.1,15.50704574584961,nan,,,,
24,1200000,1250000,50000,127.4858627319336,0.00276,0.99724,85.774,0.0,42.887,13.37533950805664,nan,,,,
