chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
53,1060000,1080000,20000,196.0,0.0025,0.9975,100.0,40.205,70.10249999999999,196.5,18.0,,,,
54,1080000,1100000,20000,193.5,0.0025,0.9975,100.0,39.885,69.9425,196.5,18.0,,,,
55,1100000,1120000,20000,209.0,0.0025,0.9975,98.34,40.045,69.1925,196.5,18.0,,,,
56,1120000,1140000,20000,198.5,0.0025,0.9975,98.315,40.27,69.2925,196.5,18.0,,,,
57,1140000,1160000,20000,208.5,0.00255,0.99745,98.265,40.895,69.58,196.5,18.0,,,,
58,1160000,1180000,20000,202.5,0.0025,0.9975,98.285,40.525,69.405,196.5,18.0,,,,
59,1180000,1200000,20000,204.0,0.0025,0.9975,98.33,40.485,69.4075,196.5,18.0,,,,
60,1200000,1220000,20000,204.0,0.00255,0.99745,98.175,41.215,69.695,196.5,18.0,,,,
61,1220000,1240000,20000,208.5,0.0025,0.9975,98.27,40.91,69.59,196.5,18.0,,,,
62,1240000,1260000,20000,201.0,0.00255,0.99745,98.355,41.54,69.9475,196.5,18.0,,,,
63,1260000,1280000,20000,204.0,0.0025,0.9975,98.51,41.18,69.845,196.5,18.0,,,,
64,1280000,1300000,20000,203.0,0.0025,0.9975,98.41,41.62,70.015,196.5,18.0,,,,
65,1300000,1320000,20000,196.0,0.0025,0.9975,100.0,41.935,70.9675,196.5,18.0,,,,
66,1320000,1340000,20000,196.0,0.0025,0.9975,100.0,41.945,70.9725,196.5,18.0,,,,
67,1340000,1360000,20000,207.0,0.0025,0.9975,98.48,42.26,70.37,196.5,18.0,,,,
68,1360000,1380000,20000,205.0,0.0025,0.9975,98.51,41.715,70.11250000000001,196.5,18.0,,,,
69,1380000,1400000,20000,199.0,0.00255,0.99745,98.4,42.035,70.2175,196.5,18.0,,,,
70,1400000,1420000,20000,188.5,0.0025,0.9975,100.0,42.08,71.03999999999999,196.5,18.0,,,,
71,1420000,1440000,20000,191.5,0.00255,0.99745,100.0,42.64,71.32,196.5,18.0,,,,
72,1440000,1460000,20000,198.5,0.0025,0.9975,98.785,41.65,70.2175,196.5,18.0,,,,
73,1460000,1480000,20000,201.0,0.0025,0.9975,98.815,42.555,70.685,196.5,18.0,,,,
74,1480000,1500000,20000,193.5,0.0025,0.9975,100.0,41.94,70.97,196.5,18.0,,,,
75,1500000,1520000,20000,194.0,0.0025,0.9975,100.0,41.48,70.74,196.5,18.0,,,,
76,1520000,1540000,20000,189.0,0.0025,0.9975,100.0,41.185,70.5925,196.5,18.0,,,,
77,1540000,1560000,20000,187.0,0.0025,0.9975,100.0,41.59,70.795,196.5,18.0,,,,
78,1560000,1580000,20000,182.0,0.0026,0.9974,100.0,41.965,70.9825,196.5,18.0,,,,
79,1580000,1600000,20000,187.0,0.0025,0.9975,100.0,40.92,70.46000000000001,196.5,18.0,,,,
80,1600000,1620000,20000,188.5,0.0025,0.9975,100.0,40.93,70.465,196.5,18.0,,,,
81,1620000,1640000,20000,189.0,0.00255,0.99745,100.0,40.62,70.31,196.5,18.0,,,,
82,1640000,1660000,20000,180.5,0.00255,0.99745,100.0,39.745,69.8725,196.5,18.0,,,,
83,1660000,1662241,2241,198.5,0.002677376171352075,0.9973226238286479,99.37527889335118,41.41008478357876,70.39268183846497,196.5,18.0,,,,
AVG_FINITE,,,,nan,nan,nan,nan,nan,nan,nan,nan,97.66506284396846,31.220120056947362,84,84
