chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,20000,20000,224.0,0.0029,0.9971,98.75,18.12,58.435,196.5,18.0,,,,
1,20000,40000,20000,236.5,0.00275,0.99725,98.75,12.895,55.8225,196.5,33.5,,,,
2,40000,60000,20000,232.5,0.0028,0.9972,99.06,17.645,58.3525,196.5,33.5,,,,
3,60000,80000,20000,229.0,0.0028,0.9972,98.755,16.835,57.795,196.5,33.5,,,,
4,80000,100000,20000,229.5,0.0028,0.9972,98.67,16.045,57.3575,196.5,18.0,,,,
5,100000,120000,20000,226.5,0.00275,0.99725,98.575,16.55,57.5625,196.5,33.5,,,,
6,120000,140000,20000,227.5,0.00275,0.99725,98.405,16.295,57.35,196.5,33.5,,,,
7,140000,160000,20000,226.5,0.00275,0.99725,98.025,16.58,57.3025,196.5,33.5,,,,
8,160000,180000,20000,231.0,0.00275,0.99725,97.81,14.905,56.3575,196.5,18.0,,,,
9,180000,200000,20000,231.5,0.00275,0.99725,98.07,14.595,56.332499999999996,196.5,18.0,,,,
10,200000,220000,20000,233.0,0.00275,0.99725,97.715,14.815,56.265,196.5,18.0,,,,
11,220000,240000,20000,224.0,0.00275,0.99725,97.41,16.01,56.71,196.5,18.0,,,,
12,240000,260000,20000,219.5,0.00275,0.99725,97.255,17.06,57.1575,196.5,18.0,,,,
13,260000,280000,20000,218.5,0.00285,0.99715,97.19,17.89,57.54,196.5,18.0,,,,
14,280000,300000,20000,225.5,0.00285,0.99715,96.465,18.01,57.237500000000004,196.5,18.0,,,,
15,300000,320000,20000,229.5,0.00275,0.99725,96.455,15.99,56.2225,196.5,33.5,,,,
16,320000,340000,20000,218.0,0.00275,0.99725,96.525,18.425,57.475,196.5,18.0,,,,
17,340000,360000,20000,225.5,0.0028,0.9972,96.0,19.16,57.58,196.5,18.0,,,,
18,360000,380000,20000,221.0,0.00275,0.99725,95.475,19.435,57.455,196.5,18.0,,,,
19,380000,400000,20000,216.0,0.0028,0.9972,97.635,19.935,58.785000000000004,196.5,18.0,,,,
20,400000,420000,20000,223.5,0.0028,0.9972,95.19,20.43,57.81,196.5,18.0,,,,
21,420000,440000,20000,222.5,0.00275,0.99725,95.13,20.695,57.912499999999994,196.5,18.0,,,,
22,440000,460000,20000,217.5,0.0029,0.9971,95.365,21.745,58.555,196.5,18.0,,,,
23,460000,480000,20000,223.0,0.00275,0.99725,94.3,22.785,58.5425,196.5,18.0,,,,
24,480000,500000,20000,207.5,0.00275,0.99725,98.375,24.3,61.3375,196.5,18.0,,,,
25,500000,520000,20000,221.5,0.0028,0.9972,94.22,23.76,58.99,196.5,18.0,,,,
26,520000,540000,20000,215.5,0.00275,0.99725,96.695,24.765,60.73,196.5,18.0,,,,
27,540000,560000,20000,217.0,0.00275,0.99725,96.375,25.21,60.792500000000004,196.5,18.0,,,,
28,560000,580000,20000,213.0,0.00275,0.99725,98.23,26.365,62.2975,196.5,18.0,,,,
29,580000,600000,20000,211.0,0.00275,0.99725,98.17,26.36,62.265,196.5,18.0,,,,
30,600000,620000,20000,215.5,0.00275,0.99725,96.33,26.76,61.545,196.5,18.0,,,,
31,620000,640000,20000,219.0,0.00275,0.99725,93.695,27.96,60.8275,196.5,18.0,,,,
32,640000,660000,20000,213.0,0.00275,0.99725,98.175,29.01,63.5925,196.5,18.0,,,,
33,660000,680000,20000,210.5,0.0028,0.9972,98.295,30.265,64.28,196.5,18.0,,,,
34,680000,700000,20000,202.0,0.00275,0.99725,98.05,32.815,65.4325,196.5,18.0,,,,
35,700000,720000,20000,211.5,0.00275,0.99725,98.13,30.61,64.37,196.5,18.0,,,,
36,720000,740000,20000,214.0,0.00275,0.99725,95.675,31.38,63.527499999999996,196.5,18.0,,,,
37,740000,760000,20000,206.5,0.00275,0.99725,98.065,33.85,65.9575,196.5,18.0,,,,
38,760000,780000,20000,205.5,0.00275,0.99725,97.96,33.85,65.905,196.5,18.0,,,,
39,780000,800000,20000,208.5,0.00275,0.99725,98.055,34.475,66.265,196.5,18.0,,,,
40,800000,820000,20000,209.0,0.00275,0.99725,98.05,34.6,66.325,196.5,18.0,,,,
41,820000,840000,20000,200.5,0.0028,0.9972,97.955,35.21,66.5825,196.5,18.0,,,,
42,840000,860000,20000,206.5,0.00275,0.99725,98.12,36.195,67.1575,196.5,18.0,,,,
43,860000,880000,20000,200.0,0.0028,0.9972,98.02,36.415,67.2175,196.5,18.0,,,,
44,880000,900000,20000,206.0,0.00275,0.99725,97.96,36.68,67.32,196.5,18.0,,,,
45,900000,920000,20000,204.5,0.00275,0.99725,97.97,36.795,67.3825,196.5,18.0,,,,
46,920000,940000,20000,210.5,0.00275,0.99725,98.0,34.89,66.445,196.5,18.0,,,,
47,940000,960000,20000,206.5,0.00275,0.99725,98.08,38.025,68.0525,196.5,18.0,,,,
48,960000,980000,20000,204.0,0.0028,0.9972,98.0,38.42,68.21000000000001,196.5,18.0,,,,
49,980000,1000000,20000,203.0,0.00285,0.99715,98.15,38.425,68.2875,196.5,18.0,,,,
50,1000000,1020000,20000,198.5,0.00275,0.99725,98.08,39.67,68.875,196.5,18.0,,,,
51,1020000,1040000,20000,198.5,0.00275,0.99725,98.08,39.23,68.655,196.5,18.0,,,,
52,1040000,1060000,20000,200.0,0.00275,0.99725,98.19,39.535,68.8625,196.5,18.0,,,,
53,1060000,1080000,20000,194.0,0.00285,0.99715,100.0,40.205,70.10249999999999,196.5,18.0,,,,
54,1080000,1100000,20000,189.5,0.0028,0.9972,100.0,39.885,69.9425,196.5,18.0,,,,
55,1100000,1120000,20000,205.0,0.00275,0.99725,98.34,40.045,69.1925,196.5,18.0,,,,
56,1120000,1140000,20000,197.5,0.00275,0.99725,98.315,40.27,69.2925,196.5,18.0,,,,
57,1140000,1160000,20000,205.5,0.00275,0.99725,98.265,40.895,69.58,196.5,18.0,,,,
58,1160000,1180000,20000,199.5,0.00275,0.99725,98.285,40.525,69.405,196.5,18.0,,,,
59,1180000,1200000,20000,200.5,0.0028,0.9972,98.33,40.485,69.4075,196.5,18.0,,,,
60,1200000,1220000,20000,201.0,0.00275,0.99725,98.175,41.215,69.695,196.5,18.0,,,,
61,1220000,1240000,20000,201.0,0.00275,0.99725,98.27,40.91,69.59,196.5,18.0,,,,
62,1240000,1260000,20000,199.0,0.0028,0.9972,98.355,41.545,69.95,196.5,18.0,,,,
63,1260000,1280000,20000,200.5,0.00275,0.99725,98.51,41.18,69.845,196.5,18.0,,,,
64,1280000,1300000,20000,199.0,0.0028,0.9972,98.41,41.625,70.0175,196.5,18.0,,,,
65,1300000,1320000,20000,194.5,0.00285,0.99715,100.0,41.935,70.9675,196.5,18.0,,,,
66,1320000,1340000,20000,193.0,0.00275,0.99725,100.0,41.945,70.9725,196.5,18.0,,,,
67,1340000,1360000,20000,205.0,0.00275,0.99725,98.48,42.26,70.37,196.5,18.0,,,,
68,1360000,1380000,20000,200.5,0.0028,0.9972,98.51,41.715,70.11250000000001,196.5,18.0,,,,
69,1380000,1400000,20000,193.5,0.00275,0.99725,100.0,42.035,71.0175,196.5,18.0,,,,
70,1400000,1420000,20000,187.0,0.0028,0.9972,100.0,42.08,71.03999999999999,196.5,18.0,,,,
71,1420000,1440000,20000,187.0,0.00275,0.99725,100.0,42.64,71.32,196.5,18.0,,,,
72,1440000,1460000,20000,194.5,0.00275,0.99725,100.0,41.65,70.825,196.5,18.0,,,,
73,1460000,1480000,20000,198.0,0.0028,0.9972,98.815,42.555,70.685,196.5,18.0,,,,
74,1480000,1500000,20000,190.5,0.00285,0.99715,100.0,41.94,70.97,196.5,18.0,,,,
75,1500000,1520000,20000,191.0,0.00275,0.99725,100.0,41.48,70.74,196.5,18.0,,,,
76,1520000,1540000,20000,185.0,0.00275,0.99725,100.0,41.185,70.5925,196.5,18.0,,,,
77,1540000,1560000,20000,182.5,0.00275,0.99725,100.0,41.59,70.795,196.5,18.0,,,,
78,1560000,1580000,20000,180.0,0.00275,0.99725,100.0,41.965,70.9825,196.5,18.0,,,,
79,1580000,1600000,20000,183.5,0.00275,0.99725,100.0,40.92,70.46000000000001,196.5,18.0,,,,
80,1600000,1620000,20000,183.0,0.00275,0.99725,100.0,40.93,70.465,196.5,18.0,,,,
81,1620000,1640000,20000,187.0,0.00275,0.99725,100.0,40.62,70.31,196.5,18.0,,,,
82,1640000,1660000,20000,177.0,0.0028,0.9972,100.0,45.455,72.72749999999999,196.5,18.0,,,,
83,1660000,1662241,2241,198.5,0.002677376171352075,0.9973226238286479,99.37527889335118,41.41008478357876,70.39268183846497,196.5,18.0,,,,
AVG_FINITE,,,,nan,nan,nan,nan,nan,nan,nan,nan,98.10196760587323,31.592501009328316,84,84
