chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
17,850000,900000,50000,134.4458465576172,0.0025,0.9975,85.28222259723482,16.136616800252536,50.70941969874368,8.142343521118164,1.6364086866378784,,,,
18,900000,950000,50000,135.63255310058594,0.0025,0.9975,84.9638697242031,15.960276194381048,50.46207295929207,8.142343521118164,1.6364086866378784,,,,
19,950000,1000000,50000,138.41441345214844,0.0025,0.9975,84.20066436914252,15.545277083340892,49.872970726241704,8.142343521118164,1.6364086866378784,,,,
20,1000000,1050000,50000,140.3459014892578,0.0025,0.9975,83.66834542002928,15.274416461359275,49.47138094069428,8.142343521118164,1.6364086866378784,,,,
21,1050000,1100000,50000,136.12783813476562,0.0025,0.9975,84.83047664748283,15.884623897417663,50.35755027245025,8.142343521118164,1.6364086866378784,,,,
22,1100000,1150000,50000,129.06951904296875,0.0025,0.9975,86.70809610926415,17.007978868154556,51.85803748870935,8.142343521118164,1.6364086866378784,,,,
23,1150000,1200000,50000,132.74310302734375,0.0025,0.9975,85.74036962415829,16.405663218470046,51.073016421314165,8.142343521118164,1.6364086866378784,,,,
24,1200000,1250000,50000,129.5819854736328,0.0025,0.9975,86.57515066031812,16.919989985595222,51.74757032295667,8.142343521118164,1.6364086866378784,,,,
25,1250000,1300000,50000,131.82957458496094,0.0025,0.9975,85.98410294722603,16.548350344517296,51.26622664587167,8.142343521118164,1.6364086866378784,,,,
26,1300000,1350000,50000,127.5060806274414,0.0025,0.9975,87.11297543105435,17.27584605392539,52.19441074248987,8.142343521118164,1.6364086866378784,,,,
27,1350000,1400000,50000,129.83514404296875,0.0025,0.9975,86.51212466970665,16.876811936009403,51.69446830285803,8.142343521118164,1.6364086866378784,,,,
28,1400000,1450000,50000,122.84111022949219,0.0025,0.9975,88.303799598836,18.127614721175025,53.21570716000551,8.142343521118164,1.6364086866378784,,,,
29,1450000,1500000,50000,123.81011962890625,0.0025,0.9975,88.06100629409413,17.939572501025026,53.00028939755958,8.142343521118164,1.6364086866378784,,,,
30,1500000,1550000,50000,123.47720336914062,0.0025,0.9975,88.14704035230096,18.001527559569382,53.07428395593517,8.142343521118164,1.6364086866378784,,,,
31,1550000,1600000,50000,120.90558624267578,0.0025,0.9975,88.78253750337399,18.497893709429867,53.640215606401924,8.142343521118164,1.6364086866378784,,,,
32,1600000,1650000,50000,124.79022216796875,0.0025,0.9975,87.81055855441296,17.760238458942755,52.78539850667786,8.142343521118164,1.6364086866378784,,,,
33,1650000,1700000,50000,124.49163818359375,0.0025,0.9975,87.88862483823851,17.812759657913737,52.85069224807613,8.142343521118164,1.6364086866378784,,,,
34,1700000,1750000,50000,121.1916275024414,0.0025,0.9975,88.71046943172311,18.43920421766091,53.574836824692014,8.142343521118164,1.6364086866378784,,,,
35,1750000,1800000,50000,120.43075561523438,0.0025,0.9975,88.89986074299944,18.595951422880013,53.74790608293972,8.142343521118164,1.6364086866378784,,,,
36,1800000,1850000,50000,123.96634674072266,0.0025,0.9975,88.02143599885228,17.910000979670034,52.96571848926116,8.142343521118164,1.6364086866378784,,,,
37,1850000,1900000,50000,119.893798828125,0.0025,0.9975,89.03200046195187,18.697456123481967,53.86472829271692,8.142343521118164,1.6364086866378784,,,,
38,1900000,1950000,50000,117.4525375366211,0.0025,0.9975,89.61387180567225,19.192824461272192,54.40334813347222,8.142343521118164,1.6364086866378784,,,,
39,1950000,2000000,50000,115.56452178955078,0.0025,0.9975,90.06360343044021,19.600203916503087,54.83190367347165,8.142343521118164,1.6364086866378784,,,,
40,2000000,2050000,50000,120.3825454711914,0.0025,0.9975,88.91226003234559,18.604206050006713,53.75823304117615,8.142343521118164,1.6364086866378784,,,,
41,2050000,2100000,50000,121.64508056640625,0.0025,0.9975,88.59793580928192,18.35293882867748,53.4754373189797,8.142343521118164,1.6364086866378784,,,,
42,2100000,2150000,50000,121.1032943725586,0.0025,0.9975,88.73182127655384,18.457618385866628,53.594719831210234,8.142343521118164,1.6364086866378784,,,,
43,2150000,2200000,50000,116.30664825439453,0.0025,0.9975,89.88898383571345,19.44309387053116,54.6660388531223,8.142343521118164,1.6364086866378784,,,,
44,2200000,2250000,50000,116.39537048339844,0.0025,0.9975,89.86933297642479,19.423137629125954,54.64623530277537,8.142343521118164,1.6364086866378784,,,,
45,2250000,2300000,50000,115.89228820800781,0.0025,0.9975,89.98629811383084,19.529722100267414,54.75801010704913,8.142343521118164,1.6364086866378784,,,,
46,2300000,2350000,50000,111.21131896972656,0.0025,0.9975,91.06006761865157,20.601553684103585,55.830810651377575,8.142343521118164,1.6364086866378784,,,,
47,2350000,2400000,50000,109.34300994873047,0.0025,0.9975,91.47470522591998,21.069799675620366,56.27225245077017,8.142343521118164,1.6364086866378784,,,,
48,2400000,2450000,50000,111.18443298339844,0.0025,0.9975,91.06552867749717,20.609536180665668,55.83753242908142,8.142343521118164,1.6364086866378784,,,,
49,2450000,2500000,50000,109.90214538574219,0.0025,0.9975,91.35326381077162,20.926024027314654,56.13964391904314,8.142343521118164,1.6364086866378784,,,,
50,2500000,2550000,50000,114.15233612060547,0.0025,0.9975,90.38902882230475,19.91651034277566,55.1527695825402,8.142343521118164,1.6364086866378784,,,,
51,2550000,2600000,50000,114.39693450927734,0.0025,0.9975,90.33043434665817,19.86353559286365,55.09698496976091,8.142343521118164,1.6364086866378784,,,,
52,2600000,2650000,50000,111.9378890991211,0.0025,0.9975,90.89771302493868,20.42974858764237,55.66373080629052,8.142343521118164,1.6364086866378784,,,,
53,2650000,2700000,50000,116.8880386352539,0.0025,0.9975,89.75415835011565,19.31437611346756,54.5342672317916,8.142343521118164,1.6364086866378784,,,,
54,2700000,2750000,50000,107.5788803100586,0.0025,0.9975,91.86109752063452,21.514733148768336,56.68791533470143,8.142343521118164,1.6364086866378784,,,,
55,2750000,2800000,50000,104.72156524658203,0.0025,0.9975,92.4644549975179,22.282322761363265,57.37338887944058,8.142343521118164,1.6364086866378784,,,,
56,2800000,2850000,50000,113.49449920654297,0.0025,0.9975,90.54413184607513,20.0607395420224,55.30243569404877,8.142343521118164,1.6364086866378784,,,,
57,2850000,2900000,50000,109.92508697509766,0.0025,0.9975,91.34874277025192,20.920853546586937,56.13479815841943,8.142343521118164,1.6364086866378784,,,,
58,2900000,2950000,50000,108.12846374511719,0.0025,0.9975,91.74216282102185,21.376581532131365,56.55937217657661,8.142343521118164,1.6364086866378784,,,,
59,2950000,3000000,50000,111.5060806274414,0.0025,0.9975,90.99493777750125,20.528259852033543,55.761598814767396,8.142343521118164,1.6364086866378784,,,,
60,3000000,3050000,50000,110.47105407714844,0.0025,0.9975,91.2279727967649,20.787509569924854,56.007741183344876,8.142343521118164,1.6364086866378784,,,,
61,3050000,3100000,50000,105.12781524658203,0.0025,0.9975,92.37779426042715,22.17183775212897,57.27481600627806,8.142343521118164,1.6364086866378784,,,,
62,3100000,3150000,50000,107.29499816894531,0.0025,0.9975,91.9204529634973,21.587119878956326,56.75378642122681,8.142343521118164,1.6364086866378784,,,,
63,3150000,3200000,50000,102.16392517089844,0.0025,0.9975,92.98200223008158,23.005555091925704,57.99377866100364,8.142343521118164,1.6364086866378784,,,,
64,3200000,3250000,50000,111.99149322509766,0.0025,0.9975,90.88589565169904,20.417956263175654,55.65192595743735,8.142343521118164,1.6364086866378784,,,,
65,3250000,3300000,50000,105.04813385009766,0.0025,0.9975,92.3943117252962,22.19342677692188,57.293869251109044,8.142343521118164,1.6364086866378784,,,,
66,3300000,3350000,50000,105.06856536865234,0.0025,0.9975,92.39032783810556,22.18807487581775,57.289201356961655,8.142343521118164,1.6364086866378784,,,,
67,3350000,3400000,50000,104.79927062988281,0.0025,0.9975,92.44807182098111,22.26127799769959,57.35467490934035,8.142343521118164,1.6364086866378784,,,,
68,3400000,3450000,50000,104.2209243774414,0.0025,0.9975,92.57058754278762,22.425826279104363,57.498206910945996,8.142343521118164,1.6364086866378784,,,,
69,3450000,3500000,50000,102.94778442382812,0.0025,0.9975,92.82797351296934,22.786671407785835,57.807322460377584,8.142343521118164,1.6364086866378784,,,,
70,3500000,3550000,50000,102.94554901123047,0.0025,0.9975,92.82828685241131,22.786943538350453,57.80761519538088,8.142343521118164,1.6364086866378784,,,,
